,abs,rel,rel2
1,1.000000e-01,6.527153e-01,6.527153e+00
2,6.527153e-02,6.579172e-01,1.007970e+01
3,4.294326e-02,6.610504e-01,1.539358e+01
4,2.838766e-02,6.630116e-01,2.335563e+01
5,1.882135e-02,6.642677e-01,3.529331e+01
6,1.250241e-02,6.650836e-01,5.319642e+01
7,8.315149e-03,6.656184e-01,8.004888e+01
8,5.534716e-03,6.659709e-01,1.203261e+02
9,3.685960e-03,6.662042e-01,1.807410e+02
10,2.455602e-03,6.663589e-01,2.713628e+02
11,1.636312e-03,6.664618e-01,4.072951e+02
12,1.090539e-03,,
13,7.268755e-04,,
